Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Uganda,Government,Africa (excl MENA),2008-02-23,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Uganda,Territory,Africa (excl MENA),2001-11-06,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Uganda,Government,Africa (excl MENA),2008-02-29,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
United Kingdom,Government/territory,Europe and Eurasia,1995-02-22,Multiparty signed/agreed,InterIntra,Pre,3,0,0,1,0
United Kingdom,Government/territory,Europe and Eurasia,1998-04-10,Multiparty signed/agreed,Intra,SubComp,3,0,0,1,1
United Kingdom,Government/territory,Europe and Eurasia,1999-03-08,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,1
United Kingdom,Government/territory,Europe and Eurasia,2003-04-01,Multiparty signed/agreed,InterIntra,Imp,2,0,0,1,1
United Kingdom,Government/territory,Europe and Eurasia,2006-01-26,Multiparty signed/agreed,InterIntra,Pre,1,0,0,0,1
United Kingdom,Government/territory,Europe and Eurasia,2015-11-17,Multiparty signed/agreed,Intra,Imp,1,0,1,1,0
United Kingdom,Territory,Cross-regional,1990-02-15,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
United Kingdom,Territory,Cross-regional,1995-09-27,Multiparty signed/agreed,Inter,SubComp,1,0,0,0,1
United States of America,Inter-group,Cross-regional,2008-11-17,Multiparty signed/agreed,Inter,Imp,1,1,0,0,1
United States of America,Other,Cross-regional,2020-02-29,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,0,0
Yemen,Government/territory,Middle East and North Africa,2014-09-21,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,0
Yemen,Government/territory,Middle East and North Africa,2016-02-29,Multiparty signed/agreed,IntraLocal,Pre,1,0,0,0,1
Yemen,Government/territory,Middle East and North Africa,2019-11-05,Multiparty signed/agreed,Intra,SubPar,1,1,0,0,0
Yemen,Government,Middle East and North Africa,2011-11-23,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Yemen,Government,Middle East and North Africa,2014-01-25,Multiparty signed/agreed,Intra,SubPar,3,1,1,1,1
Zambia,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Zambia,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Zambia,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
